filing_id,symbol,company_name,exchange,filed_at,headline,category,event_type,event_direction,event_summary,freshness_tag,quality_score,urgency_score,deal_size_inr,contextual_tags,gap_pct,rsi_7_pre,rsi_14_pre,vol_spike_5d,vol_spike_20d,vwap_delta_t0,atr_rel_range,intraday_anchor_open,intraday_anchor_vwap5,ret_t0_15min_open,ret_t0_15min_vwap,ret_t0_30min_open,ret_t0_30min_vwap,ret_t0_1h_open,ret_t0_1h_vwap,ret_t0_day,ret_t1_day,ret_t3_day,ret_t5_day,price_t_minus_1,price_t0_close,price_t1_close,price_t3_close,price_t5_close,sector_rel_return,market_rel_return,sector_alpha,sector_alpha_tercile
17,GLOTTIS,Glottis Limited,NSE,2026-04-23T00:00:08+05:30,General Updates,,UNKNOWN,NEUTRAL,Groq unavailable,WARM,49.0,0.0,,WARM_FILING|CAT_UNKNOWN|OPEN_VWAP_DIVERGENCE,,,,,,,,60.5,59.9968,-2.3471,-1.5281,-2.1322,-1.3114,-2.4793,-1.6614,-1.5755,,,,60.3,59.35,,,,,,,UNKNOWN
19,SHYAMMETL,Shyam Metalics and Energy Limited,NSE,2026-04-23T11:13:54+05:30,Press Release,,ERROR,NEUTRAL,"Classification error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kmqddqrve9wrn9d2qncqpjbt` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99931, Requested 579. Please try again in 7m20.64s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",WARM,49.0,0.0,,WARM_FILING|CAT_ERROR,,,,,,,,808.0,808.9726,0.4703,0.3495,0.526,0.4051,-0.0743,-0.1944,2.0649,,,,813.6,830.4,,,,,,,UNKNOWN
20,JAIPURKURT,Nandani Creation Limited,NSE,2026-04-23T11:02:12+05:30,Press Release,,ERROR,NEUTRAL,"Classification error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kmqddqrve9wrn9d2qncqpjbt` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99931, Requested 579. Please try again in 7m20.64s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",WARM,49.0,0.0,,WARM_FILING|CAT_ERROR|OPEN_VWAP_DIVERGENCE,,,,,,,,31.6,31.0035,-0.3481,1.5692,-0.6013,1.3111,-1.2342,0.6661,7.0933,,,,31.72,33.97,,,,,,,UNKNOWN
21,DEVIT,Dev Information Technology Limited,NSE,2026-04-23T10:55:18+05:30,Press Release,,ERROR,NEUTRAL,"Classification error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kmqddqrve9wrn9d2qncqpjbt` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99930, Requested 576. Please try again in 7m17.184s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",WARM,49.0,0.0,,WARM_FILING|CAT_ERROR|OPEN_VWAP_DIVERGENCE,,,,,,,,32.99,32.6981,-1.5762,-0.6976,-2.7281,-1.8597,-3.9103,-3.0525,4.5981,,,,32.84,34.35,,,,,,,UNKNOWN
22,PATELENG,Patel Engineering Limited,NSE,2026-04-23T10:48:16+05:30,Press Release,Construction,ERROR,NEUTRAL,"Classification error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kmqddqrve9wrn9d2qncqpjbt` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99930, Requested 433. Please try again in 5m13.632s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",WARM,49.0,0.0,,WARM_FILING|CAT_ERROR,,,,,,,,28.4,28.4385,1.2324,1.0953,2.5352,2.3964,1.0563,0.9195,0.9174,,,,28.34,28.6,,,,,,,UNKNOWN
24,OMAXE,Omaxe Limited,NSE,2026-04-23T11:46:02+05:30,Granting/withdrawal/surrender/cancellation/suspension of key licenses/ regulatory approvals,Construction,ERROR,NEUTRAL,"Classification error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kmqddqrve9wrn9d2qncqpjbt` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99930, Requested 594. Please try again in 7m32.736s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",FRESH,49.0,0.0,,FRESH_FILING|CAT_ERROR,,,,,,,,82.75,82.62,-0.7613,-0.6052,-0.9184,-0.7625,-1.4018,-1.2467,4.4578,,,,83.0,86.7,,,,,,,UNKNOWN
25,M&MFIN,Mahindra & Mahindra Financial Services Limited,NSE,2026-04-23T11:42:22+05:30,Credit Rating- Others,Finance,ERROR,NEUTRAL,"Classification error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kmqddqrve9wrn9d2qncqpjbt` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99930, Requested 434. Please try again in 5m14.496s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",FRESH,49.0,0.0,,FRESH_FILING|CAT_ERROR,,,,,,,,297.8,297.0633,-0.1343,0.1133,0.0168,0.2648,-0.0504,0.1975,-1.8592,,,,301.2,295.6,,,,,,,UNKNOWN
27,DALMIASUG,Dalmia Bharat Sugar and Industries Limited,NSE,2026-04-23T10:39:35+05:30,Pendency of Litigation(s)/dispute(s) or the outcome impacting the Company,Sugar,ERROR,NEUTRAL,"Classification error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kmqddqrve9wrn9d2qncqpjbt` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99930, Requested 593. Please try again in 7m31.872s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",WARM,49.0,0.0,,WARM_FILING|CAT_ERROR|OPEN_VWAP_DIVERGENCE,,,,,,,,406.0,408.7052,1.4778,0.8062,0.4926,-0.1725,0.3079,-0.3561,1.4728,,,,404.0,409.95,,,,,,,UNKNOWN
28,TICL,Twamev Construction and Infrastructure Limited,NSE,2026-04-23T10:31:34+05:30,Demise,,ERROR,NEUTRAL,"Classification error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kmqddqrve9wrn9d2qncqpjbt` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99930, Requested 432. Please try again in 5m12.768s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",WARM,49.0,0.0,,WARM_FILING|CAT_ERROR|OPEN_VWAP_DIVERGENCE,,,,,,,,21.3,21.0508,0.4225,1.6113,-0.4695,0.7088,-0.7512,0.4237,0.2347,,,,21.3,21.35,,,,,,,UNKNOWN
29,MASFIN,MAS Financial Services Limited,NSE,2026-04-23T11:43:26+05:30,Analysts/Institutional Investor Meet/Con. Call Updates,,ERROR,NEUTRAL,"Classification error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kmqddqrve9wrn9d2qncqpjbt` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99930, Requested 587. Please try again in 7m26.688s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",FRESH,49.0,0.0,,FRESH_FILING|CAT_ERROR,,,,,,,,323.6,323.6557,0.0618,0.0446,-0.0927,-0.1099,-0.2472,-0.2644,0.0,,,,320.0,320.0,,,,,,,UNKNOWN
30,GLOBUSSPR,Globus Spirits Limited,NSE,2026-04-23T11:34:05+05:30,Analysts/Institutional Investor Meet/Con. Call Updates,Brew/Distilleries,ERROR,NEUTRAL,"Classification error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kmqddqrve9wrn9d2qncqpjbt` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99930, Requested 594. Please try again in 7m32.736s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",FRESH,49.0,0.0,,FRESH_FILING|CAT_ERROR,,,,,,,,1031.8,1032.1215,-0.2714,-0.3024,0.6009,0.5696,-0.2278,-0.2588,0.5043,,,,1021.2,1026.35,,,,,,,UNKNOWN
31,CEWATER,Concord Enviro Systems Limited,NSE,2026-04-23T11:29:35+05:30,General Updates,,ERROR,NEUTRAL,"Classification error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kmqddqrve9wrn9d2qncqpjbt` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99930, Requested 577. Please try again in 7m18.048s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",FRESH,49.0,0.0,,FRESH_FILING|CAT_ERROR,,,,,,,,324.65,325.3484,0.4774,0.2618,-0.2618,-0.4759,-0.0154,-0.23,0.3814,,,,327.75,329.0,,,,,,,UNKNOWN
32,BAJAJELEC,Bajaj Electricals Limited,NSE,2026-04-23T11:09:04+05:30,General Updates,Consumer Durables,ERROR,NEUTRAL,"Classification error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kmqddqrve9wrn9d2qncqpjbt` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99930, Requested 581. Please try again in 7m21.504s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",WARM,49.0,0.0,,WARM_FILING|CAT_ERROR,,,,,,,,397.0,397.1476,-0.3652,-0.4023,-0.3904,-0.4274,-0.2519,-0.289,-0.4653,,,,397.6,395.75,,,,,,,UNKNOWN
33,IDEAFORGE,Ideaforge Technology Limited,NSE,2026-04-23T10:59:59+05:30,Analysts/Institutional Investor Meet/Con. Call Updates,,ERROR,NEUTRAL,"Classification error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kmqddqrve9wrn9d2qncqpjbt` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99930, Requested 589. Please try again in 7m28.416s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",WARM,49.0,0.0,,WARM_FILING|CAT_ERROR|OPEN_VWAP_DIVERGENCE,,,,,,,,546.1,541.0085,-0.9339,-0.0016,-1.6389,-0.7132,-1.9593,-1.0367,-1.4181,,,,539.45,531.8,,,,,,,UNKNOWN
34,AYE,Aye Finance Limited,NSE,2026-04-23T10:59:10+05:30,Analysts/Institutional Investor Meet/Con. Call Updates,,ERROR,NEUTRAL,"Classification error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kmqddqrve9wrn9d2qncqpjbt` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99930, Requested 442. Please try again in 5m21.408s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",WARM,49.0,0.0,,WARM_FILING|CAT_ERROR,,,,,,,,137.5,138.1668,1.0836,0.5958,-0.2691,-0.7504,-0.8073,-1.286,-2.1583,,,,139.0,136.0,,,,,,,UNKNOWN
35,JKCEMENT,JK Cement Limited,NSE,2026-04-23T10:42:42+05:30,General Updates,Cement And Cement Products,ERROR,NEUTRAL,"Classification error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kmqddqrve9wrn9d2qncqpjbt` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99930, Requested 580. Please try again in 7m20.64s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",WARM,49.0,0.0,,WARM_FILING|CAT_ERROR,,,,,,,,5889.0,5860.789,-1.0698,-0.5936,-1.2651,-0.7898,-0.7811,-0.3035,-1.7288,,,,5900.0,5798.0,,,,,,,UNKNOWN
36,CRAMC,Canara Robeco Asset Management Company Limited,NSE,2026-04-23T10:34:37+05:30,Analysts/Institutional Investor Meet/Con. Call Updates,,ERROR,NEUTRAL,"Classification error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kmqddqrve9wrn9d2qncqpjbt` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99930, Requested 588. Please try again in 7m27.551999999s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",WARM,49.0,0.0,,WARM_FILING|CAT_ERROR|OPEN_VWAP_DIVERGENCE,,,,,,,,288.0,290.7171,0.5729,-0.3671,0.6007,-0.3395,0.6771,-0.2639,-1.3322,,,,289.0,285.15,,,,,,,UNKNOWN
37,BEL,Bharat Electronics Limited,NSE,2026-04-23T11:47:16+05:30,Cessation,Electronics - Industrial,ERROR,NEUTRAL,"Classification error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kmqddqrve9wrn9d2qncqpjbt` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99784, Requested 433. Please try again in 3m7.488s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",FRESH,49.0,0.0,,FRESH_FILING|CAT_ERROR,,,,,,,,446.15,446.481,0.2466,0.1722,0.4371,0.3626,-0.1681,-0.2421,-0.1003,,,,448.8,448.35,,,,,,,UNKNOWN
38,DIFFNKG,Diffusion Engineers Limited,NSE,2026-04-23T12:51:30+05:30,Bagging/Receiving of orders/contracts,,ERROR,NEUTRAL,"Classification error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kmqddqrve9wrn9d2qncqpjbt` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99884, Requested 584. Please try again in 6m44.352s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",FRESH,49.0,0.0,,FRESH_FILING|CAT_ERROR,,,,,,,,311.1,311.11,0.0836,0.0804,0.4757,0.4725,0.2893,0.2861,1.3195,,,,313.0,317.13,,,,,,,UNKNOWN
40,UNIONBANK,Union Bank of India,NSE,2026-04-23T13:07:44+05:30,Dividend,Banks,ERROR,NEUTRAL,"Classification error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kmqddqrve9wrn9d2qncqpjbt` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99884, Requested 440. Please try again in 4m39.936s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",FRESH,49.0,0.0,,FRESH_FILING|CAT_ERROR,,,,,,,,190.08,189.9661,-0.0421,0.0178,0.5734,0.6337,-0.0684,-0.0085,-5.7128,,,,194.3,183.2,,,,,,,UNKNOWN
41,SOLEX,Solex Energy Limited,NSE,2026-04-23T13:06:13+05:30,Press Release,,ERROR,NEUTRAL,"Classification error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kmqddqrve9wrn9d2qncqpjbt` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99883, Requested 576. Please try again in 6m36.576s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",FRESH,49.0,0.0,,FRESH_FILING|CAT_ERROR,,,,,,,,1329.7,1328.7911,-0.2444,-0.1762,-0.1579,-0.0896,0.7746,0.8435,-0.8216,,,,1345.0,1333.95,,,,,,,UNKNOWN
42,SRGHFL,SRG Housing Finance Limited,NSE,2026-04-23T12:56:46+05:30,Outcome of Board Meeting,,ERROR,NEUTRAL,"Classification error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kmqddqrve9wrn9d2qncqpjbt` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99883, Requested 579. Please try again in 6m39.168s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",FRESH,49.0,0.0,,FRESH_FILING|CAT_ERROR,,,,,,,,281.57,281.57,2.9904,2.9904,2.9904,2.9904,0.1882,0.1882,-1.6955,,,,294.9,289.9,,,,,,,UNKNOWN
44,UNIDT,United Drilling Tools Limited,NSE,2026-04-23T12:39:05+05:30,Press Release,,ERROR,NEUTRAL,"Classification error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kmqddqrve9wrn9d2qncqpjbt` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99883, Requested 577. Please try again in 6m37.44s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",FRESH,49.0,0.0,,FRESH_FILING|CAT_ERROR,,,,,,,,213.05,213.72,0.3943,0.0795,-0.399,-0.7112,-0.2347,-0.5474,0.7539,,,,214.88,216.5,,,,,,,UNKNOWN
45,SIMPLEXINF,Simplex Infrastructures Limited,NSE,2026-04-23T13:01:43+05:30,Shareholders meeting,Construction,ERROR,NEUTRAL,"Classification error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kmqddqrve9wrn9d2qncqpjbt` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99883, Requested 578. Please try again in 6m38.304s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",FRESH,49.0,0.0,,FRESH_FILING|CAT_ERROR,,,,,,,,225.43,225.43,-0.1553,-0.1553,0.2085,0.2085,-0.275,-0.275,1.4453,,,,222.1,225.31,,,,,,,UNKNOWN
46,JKTYRE,JK Tyre & Industries Limited,NSE,2026-04-23T12:46:43+05:30,Shareholders meeting,Tyres,ERROR,NEUTRAL,"Classification error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kmqddqrve9wrn9d2qncqpjbt` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99883, Requested 579. Please try again in 6m39.168s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",FRESH,49.0,0.0,,FRESH_FILING|CAT_ERROR,,,,,,,,422.0,422.0853,0.0829,0.0627,0.0829,0.0627,-0.1659,-0.1861,-1.2398,,,,427.5,422.2,,,,,,,UNKNOWN
48,SRD,Shankar Lal Rampal Dye-Chem Limited,NSE,2026-04-23T12:22:25+05:30,"Certificate under SEBI (Depositories and Participants) Regulations, 2018",,ERROR,NEUTRAL,"Classification error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kmqddqrve9wrn9d2qncqpjbt` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99883, Requested 590. Please try again in 6m48.671999999s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",WARM,49.0,0.0,,WARM_FILING|CAT_ERROR,,,,,,,,45.27,45.27,-0.2651,-0.2651,-0.6406,-0.6406,-0.9499,-0.9499,0.6236,,,,44.9,45.18,,,,,,,UNKNOWN
49,TRENT,Trent Limited,NSE,2026-04-23T12:21:00+05:30,Copy of Newspaper Publication,Miscellaneous,ERROR,NEUTRAL,"Classification error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kmqddqrve9wrn9d2qncqpjbt` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99883, Requested 578. Please try again in 6m38.304s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",WARM,49.0,0.0,,WARM_FILING|CAT_ERROR,,,,,,,,4261.1,4259.0354,0.6172,0.666,1.1711,1.2201,0.8683,0.9172,-1.8844,,,,4409.9,4326.8,,,,,,,UNKNOWN
50,CYIENTDLM,Cyient DLM Limited,NSE,2026-04-23T12:19:25+05:30,Copy of Newspaper Publication,,ERROR,NEUTRAL,"Classification error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kmqddqrve9wrn9d2qncqpjbt` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99883, Requested 580. Please try again in 6m40.032s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",WARM,49.0,0.0,,WARM_FILING|CAT_ERROR|OPEN_VWAP_DIVERGENCE,,,,,,,,370.05,367.6594,-0.3648,0.283,-0.7972,-0.1522,-0.8377,-0.193,-0.2534,,,,374.95,374.0,,,,,,,UNKNOWN
52,UJJIVANSFB,Ujjivan Small Finance Bank Limited,NSE,2026-04-23T12:43:02+05:30,General Updates,,ERROR,NEUTRAL,"Classification error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kmqddqrve9wrn9d2qncqpjbt` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99883, Requested 579. Please try again in 6m39.168s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",FRESH,49.0,0.0,,FRESH_FILING|CAT_ERROR,,,,,,,,57.98,58.0021,0.3277,0.2895,0.5174,0.4791,0.4139,0.3757,-0.0853,,,,58.64,58.59,,,,,,,UNKNOWN
